congress,person_id,person_name,party,state,party_percentage,num_votes_with,num_votes_against
111,S213,Akaka (D-HI),D,HI,0.89017344,616,76
111,S317,Barrasso (R-WY),R,WY,0.8352601,578,114
111,S127,Baucus (D-MT),D,MT,0.80924857,560,132
111,S264,Bayh (D-IN),D,IN,0.39595374,274,418
111,S319,Begich (D-AK),D,AK,0.8063584,558,134
111,S231,Bennett (R-UT),R,UT,0.67919075,470,222
111,S167,Bingaman (D-NM),D,NM,0.8265896,572,120
111,S223,Boxer (D-CA),D,CA,0.8699422,602,90
111,S017,Byrd (D-WV),D,WV,0.29313233,175,422
111,S275,Cantwell (D-WA),D,WA,0.80924857,560,132
111,S308,Cardin (D-MD),D,MD,0.8959538,620,72
111,S277,Carper (D-DE),D,DE,0.7919075,548,144
111,S309,Casey (D-PA),D,PA,0.8699422,602,90
111,S136,Cochran (R-MS),R,MS,0.6763006,468,224
111,S252,Collins (R-ME),R,ME,0.32947975,228,464
111,S201,Conrad (D-ND),D,ND,0.80057806,554,138
111,S266,Crapo (R-ID),R,ID,0.7890173,546,146
111,S150,Dodd (D-CT),D,CT,0.849711,588,104
111,S222,Dorgan (D-ND),D,ND,0.7803468,540,152
111,S253,Durbin (D-IL),D,IL,0.8699422,602,90
111,S254,Enzi (R-WY),R,WY,0.80924857,560,132
111,S230,Feingold (D-WI),D,WI,0.55780345,386,306
111,S221,Feinstein (D-CA),D,CA,0.85549134,592,100
111,S320,Hagan (D-NC),D,NC,0.76589596,530,162
111,S172,Harkin (D-IA),D,IA,0.8352601,578,114
111,S118,Hatch (R-UT),R,UT,0.7829233,541,150
111,S051,Inouye (D-HI),D,HI,0.8786127,608,84
111,S257,Johnson (D-SD),D,SD,0.84682083,586,106
111,S173,Kerry (D-MA),D,MA,0.849711,588,104
111,S311,Klobuchar (D-MN),D,MN,0.7630058,528,164
111,S209,Kohl (D-WI),D,WI,0.8265896,572,120
111,S258,Landrieu (D-LA),D,LA,0.7803468,540,152
111,S166,Lautenberg (D-NJ),D,NJ,0.8786127,608,84
111,S057,Leahy (D-VT),D,VT,0.8757225,606,86
111,S131,Levin (D-MI),D,MI,0.8786127,608,84
111,S269,Lincoln (D-AR),D,AR,0.6069364,420,272
111,S105,Lugar (R-IN),R,IN,0.6242775,432,260
111,S312,McCaskill (D-MO),D,MO,0.5549133,384,308
111,S306,Menendez (D-NJ),D,NJ,0.8583815,594,98
111,S322,Merkley (D-OR),D,OR,0.84393066,584,108
111,S182,Mikulski (D-MD),D,MD,0.8410405,582,110
111,S288,Murkowski (R-AK),R,AK,0.5635838,390,302
111,S229,Murray (D-WA),D,WA,0.84393066,584,108
111,S282,Nelson (D-FL),D,FL,0.77745664,538,154
111,S283,Nelson (D-NE),D,NE,0.35260117,244,448
111,S295,Pryor (D-AR),D,AR,0.76589596,530,162
111,S259,Reed (D-RI),D,RI,0.8930636,618,74
111,S198,Reid (D-NV),D,NV,1.0,692,0
111,S323,Risch (R-ID),R,ID,0.80924857,560,132
111,S176,Rockefeller (D-WV),D,WV,0.7514451,520,172
111,S270,Schumer (D-NY),D,NY,0.9017341,624,68
111,S324,Shaheen (D-NH),D,NH,0.84682083,586,106
111,S245,Snowe (R-ME),R,ME,0.34971097,242,450
