congress,person_id,person_name,party,state,party_percentage,num_votes_with,num_votes_against
104,S238,Abraham (R-MI),R,MI,0.79325354,729,190
104,S213,Akaka (D-HI),D,HI,0.8237214,757,162
104,S239,Ashcroft (R-MO),R,MO,0.8367791,769,150
104,S127,Baucus (D-MT),D,MT,0.51468986,473,446
104,S231,Bennett (R-UT),R,UT,0.81066376,745,174
104,S010,Biden (D-DE),D,DE,0.6082699,559,360
104,S200,Bond (R-MO),R,MO,0.7760532,700,202
104,S132,Bradley (D-NJ),D,NJ,0.5816994,534,384
104,S179,Breaux (D-LA),D,LA,0.61697495,567,352
104,S214,Brown (R-CO),R,CO,0.7214363,663,256
104,S211,Burns (R-MT),R,MT,0.8628945,793,126
104,S017,Byrd (D-WV),D,WV,0.59085965,543,376
104,S116,Chafee (R-RI),R,RI,0.49075082,451,468
104,S212,Coats (R-IN),R,IN,0.81066376,745,174
104,S136,Cochran (R-MS),R,MS,0.83460283,767,152
104,S137,Cohen (R-ME),R,ME,0.41022852,377,542
104,S201,Conrad (D-ND),D,ND,0.7279652,669,250
104,S228,Coverdell (R-GA),R,GA,0.8932462,820,98
104,S215,Craig (R-ID),R,ID,0.8868335,815,104
104,S147,D'Amato (R-NY),R,NY,0.7407407,680,238
104,S185,Daschle (D-SD),D,SD,1.0,919,0
104,S240,DeWine (R-OH),R,OH,0.7279652,669,250
104,S150,Dodd (D-CT),D,CT,0.69967353,643,276
104,S026,Dole (R-KS),R,KS,0.8573281,661,110
104,S027,Domenici (R-NM),R,NM,0.7801959,717,202
104,S222,Dorgan (D-ND),D,ND,0.7236126,665,254
104,S129,Exon (D-NE),D,NE,0.5751634,528,390
104,S227,Faircloth (R-NC),R,NC,0.7780196,715,204
104,S221,Feinstein (D-CA),D,CA,0.63656145,585,334
104,S033,Ford (D-KY),D,KY,0.67791075,623,296
104,S241,Frist (R-TN),R,TN,0.85418934,785,134
104,S035,Glenn (D-OH),D,OH,0.69967353,643,276
104,S152,Gorton (R-WA),R,WA,0.7385621,678,240
104,S171,Gramm (R-TX),R,TX,0.7366703,677,242
104,S242,Grams (R-MN),R,MN,0.83025026,763,156
104,S153,Grassley (R-IA),R,IA,0.7823721,719,200
104,S224,Gregg (R-NH),R,NH,0.7366703,677,242
104,S118,Hatch (R-UT),R,UT,0.8171926,751,168
104,S044,Hatfield (R-OR),R,OR,0.44940153,413,506
104,S130,Heflin (D-AL),D,AL,0.41022852,377,542
104,S046,Helms (R-NC),R,NC,0.788901,725,194
104,S235,Hutchison (R-TX),R,TX,0.8628945,793,126
104,S236,Inhofe (R-OK),R,OK,0.84983677,781,138
104,S051,Inouye (D-HI),D,HI,0.7040261,647,272
104,S204,Jeffords (R-VT),R,VT,0.31515813,289,628
104,S054,Johnston (D-LA),D,LA,0.5125136,471,448
104,S140,Kassebaum (R-KS),R,KS,0.5751634,528,390
104,S232,Kempthorne (R-ID),R,ID,0.87377584,803,116
104,S209,Kohl (D-WI),D,WI,0.6256801,575,344
104,S243,Kyl (R-AZ),R,AZ,0.81066376,745,174
104,S131,Levin (D-MI),D,MI,0.7366703,677,242
104,S203,Lott (R-MS),R,MS,1.0,919,0
104,S105,Lugar (R-IN),R,IN,0.71926004,661,258
104,S205,Mack (R-FL),R,FL,0.7821782,711,198
104,S197,McCain (R-AZ),R,AZ,0.6648531,611,308
104,S174,McConnell (R-KY),R,KY,0.87159956,801,118
104,S182,Mikulski (D-MD),D,MD,0.7214363,663,256
104,S113,Moynihan (D-NY),D,NY,0.61262244,563,356
104,S157,Murkowski (R-AK),R,AK,0.8237214,757,162
104,S229,Murray (D-WA),D,WA,0.7671382,705,214
104,S158,Nickles (R-OK),R,OK,0.867247,797,122
104,S075,Packwood (R-OR),R,OR,0.6166667,296,184
104,S141,Pressler (R-SD),R,SD,0.8258977,759,160
104,S198,Reid (D-NV),D,NV,0.59738845,549,370
104,S083,Roth (R-DE),R,DE,0.6605005,607,312
104,S244,Santorum (R-PA),R,PA,0.8171926,751,168
104,S184,Shelby (D-AL),D,AL,-0.22524484,-207,1126
104,S142,Simpson (R-WY),R,WY,0.6772083,621,296
104,S216,Smith (R-NH),R,NH,0.8019587,737,182
104,S245,Snowe (R-ME),R,ME,0.51033735,469,450
104,S161,Specter (R-PA),R,PA,0.40522876,372,546
104,S090,Stevens (R-AK),R,AK,0.7780196,715,204
104,S246,Thomas (R-WY),R,WY,0.8215452,755,164
104,S237,Thompson (R-TN),R,TN,0.75408053,693,226
104,S096,Thurmond (R-SC),R,SC,0.90642,833,86
104,S143,Warner (R-VA),R,VA,0.7780196,715,204
104,S167,Bingaman (D-NM),D,NM,0.6844396,629,290
104,S223,Boxer (D-CA),D,CA,0.74482006,683,234
104,S206,Bryan (D-NV),D,NV,0.640914,589,330
104,S014,Bumpers (D-AR),D,AR,0.69967353,643,276
104,S230,Feingold (D-WI),D,WI,0.61044616,561,358
104,S199,Graham (D-FL),D,FL,0.640914,589,330
104,S172,Harkin (D-IA),D,IA,0.7149075,657,262
104,S055,Kennedy (D-MA),D,MA,0.7453754,685,234
104,S208,Kerrey (D-NE),D,NE,0.6430903,591,328
104,S173,Kerry (D-MA),D,MA,0.7170838,659,260
104,S166,Lautenberg (D-NJ),D,NJ,0.7040261,647,272
104,S210,Lieberman (D-CT),D,CT,0.5212187,479,440
104,S226,Moseley-Braun (D-IL),D,IL,0.66920567,615,304
