congress,person_id,person_name,party,state,party_percentage,num_votes_with,num_votes_against
105,B000179,"Barrett (R-NE)",R,NE,0.8422018348623853,502,43
105,B000177,"Barrett (D-WI)",D,WI,0.5679702048417132,421,116
105,B000944,"Brown (D-OH)",D,OH,0.6192236598890942,438,103
105,C000191,"Carson (D-IN)",D,IN,0.48785046728971965,398,137
105,C000345,"Chenoweth (R-ID)",R,ID,0.6403669724770642,447,98
105,C000488,"Clay (D-MO)",D,MO,0.6268115942028986,449,103
105,C000503,"Clement (D-TN)",D,TN,0.5046210720887245,407,134
105,C000560,"Coburn (R-OK)",R,OK,0.6459854014598541,451,97
105,C000735,"Cooksey (R-LA)",R,LA,0.69009009009009,469,86
105,C000984,"Cummings (D-MD)",D,MD,0.5666666666666667,423,117
105,D000482,"Doyle (D-PA)",D,PA,0.5055350553505535,408,134
105,F000235,"Foglietta (D-PA)",D,PA,0.5,222,74
105,G000120,"Gejdenson (D-CT)",D,CT,0.5962962962962963,431,109
105,H000874,"Hoyer (D-MD)",D,MD,0.5510204081632653,418,121
105,I000047,"Istook (R-OK)",R,OK,0.7439703153988868,470,69
105,J000070,"Jefferson (D-LA)",D,LA,0.5890909090909091,437,113
105,L000096,"Largent (R-OK)",R,OK,0.6406533575317604,452,99
105,L000321,"Linder (R-GA)",R,GA,0.8081180811808119,490,52
105,M000399,"McDade (R-PA)",R,PA,0.498220640569395,421,141
105,N000159,"Norwood (R-GA)",R,GA,0.7018181818181818,468,82
105,O000007,"Obey (D-WI)",D,WI,0.5754189944134078,423,114
105,P000419,"Pombo (R-CA)",R,CA,0.7043795620437956,467,81
105,R000385,"Roemer (D-IN)",D,IN,0.4343807763401109,388,153
105,S000510,"Smith (D-Adam")",D,Adam",0.5313653136531366,415,127
105,S001078,"Sununu (R-NH)",R,NH,0.833641404805915,496,45
105,T000067,"Taylor (R-NC)",R,NC,0.6987295825771325,468,83
105,T000326,"Towns (D-NY)",D,NY,0.5090252707581228,418,136
105,T000350,"Traficant (D-OH)",D,OH,0.13711151736745886,311,236
105,Y000031,"Young (R-FL)",R,FL,0.6526508226691042,452,95
105,A000210,"Andrews (D-NJ)",D,NJ,0.6022099447513812,435,108
105,B000072,"Baker (R-LA)",R,LA,0.7378815080789947,484,73
105,B000213,"Barton (R-TX)",R,TX,0.7486136783733827,473,68
105,B000617,"Bonilla (R-TX)",R,TX,0.7833935018050542,494,60
105,B001203,"Buyer (R-IN)",R,IN,0.7692307692307693,483,63
105,D000096,"Davis (D-IL)",D,IL,0.5555555555555556,420,120
105,D000191,"DeFazio (D-OR)",D,OR,0.6441947565543071,439,95
105,D000217,"DeLay (R-TX)",R,TX,0.8515769944341373,499,40
105,D000327,"Dicks (D-WA)",D,WA,0.49536178107606677,403,136
105,G000439,"Greenwood (R-PA)",R,PA,0.725925925925926,466,74
105,H000528,"Herger (R-CA)",R,CA,0.7518518518518519,473,67
105,H001022,"Hyde (R-IL)",R,IL,0.8081180811808119,490,52
105,K000274,"Klug (R-WI)",R,WI,0.6758747697974218,455,88
105,L000556,"LaFalce (D-NY)",D,NY,0.5703703703703704,424,116
105,M000117,"Manton (D-NY)",D,NY,0.49264705882352944,406,138
105,O000006,"Oberstar (D-MN)",D,MN,0.5340501792114696,428,130
105,O000107,"Ortiz (D-TX)",D,TX,0.46083788706739526,401,148
105,S000125,"Schiff (R-NM)",R,NM,-0.4895833333333333,98,286
105,S001045,"Stupak (D-MI)",D,MI,0.5947955390334573,429,109
105,W000099,"Walsh (R-NY)",R,NY,0.8185185185185185,491,49
105,D000046,"Danner (D-MO)",D,MO,0.4515539305301645,397,150
105,G000021,"Gallegly (R-CA)",R,CA,0.8175182481751825,498,50
105,J000174,"Johnson (R-Sam")",R,Sam",0.7111913357400722,474,80
